,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
102,Scrypt,PoW,68194674.8711679,105120000.0,,,,,
103,SHA-256,PoW/PoS,39121694.0,68000000.0,,,,,
104,Groestl,PoW/PoS,53193831.0,0.0,,,,,
105,Scrypt,PoW,415032420.0,1680000000.0,,,,,
106,Scrypt,PoS,27184490.3918338,0.0,,,,,
107,Scrypt,PoW,137517654.41397,166386000.0,,,,,
108,X13,PoW/PoS,2022464.886973,12000000.0,,,,,
109,Scrypt,PoW,181919.2435974,2628000.0,,,,,
110,Scrypt,PoS,174646113.934655,500000000.0,,,,,
111,Scrypt,PoW,152270664.860648,160000000.0,,,,,
112,Scrypt,PoW/PoS,1467841.0,0.0,,,,,
113,X13,PoW/PoS,7096834.0,10000000.0,,,,,
114,Scrypt,PoW,792537250.0,1000000000.0,,,,,
115,Stanford Folding,PoW,719416990.0,1000000000.0,,,,,
116,X11,PoS,2689812.0,20000000.0,,,,,
117,Multiple,PoW,65113302.0,0.0,,,,,
118,QuBit,PoW,6365285.0,0.0,,,,,
119,Scrypt,PoW,10140044.4430293,3371337.0,,,,,
120,Scrypt,PoW/PoS,11604722.0,20000000.0,,,,,
121,Scrypt,PoW,4610340640.89,10000000000.0,,,,,
122,M7 POW,PoW,708506520.0,1840000000.0,,,,,
123,Scrypt,PoW,619478.0,619478.0,,,,,
124,SHA-256,PoW,12462620.0,21000000.0,,,,,
125,Scrypt,PoW,88213.0,92000000000.0,,,,,
126,X11,PoW/PoS,1513704.0,0.0,,,,,
127,SHA3,PoW/nPoS,63657220.0,78000000.0,,,,,
128,X11,PoW,32221574.820996,33000000.0,,,,,
129,Lyra2RE,PoW,13742738.0,65789100.0,,,,,
130,SHA-256,PoW,14747200.0002,53760000.0,,,,,
131,QUAIT,PoW/PoS,8568038.35935056,5060000.0,,,,,
132,X11,PoW,15863837.5,21000000.0,,,,,
133,X11,PoS/PoW,329200.01639,0.0,,,,,
134,Scrypt,PoW,32565300.0,210240000.0,,,,,
135,Scrypt,PoW,75614500.0,250000000.0,,,,,
136,Scrypt,PoS,100000000.0,100000000.0,,,,,
137,Ethash,PoW,10495278.0,16906397.0,,,,,
138,X13,PoW/PoS,23042604.0,50000000.0,,,,,
139,Blake2b,PoW,33098296530.0,0.0,,,,,
140,SHA-256,PoW/PoS,43059794.804778,1000000000.0,,,,,
141,X15,PoW/PoS,13530556.4180753,26298000.0,,,,,
142,X11,PoW,15867695.0,16000000.0,,,,,
143,SHA-256,PoW,20997476.8650231,21000000.0,,,,,
144,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,,,,,
145,Scrypt,PoW,210000000.0,210000000.0,,,,,
146,1GB AES Pattern Search,PoW,11448949.0,81962100.0,,,,,
147,SHA-256,PoW/PoS,3669691.84494672,22000000.0,,,,,
148,X11,PoW/PoS,10996318099.0,26550000000.0,,,,,
149,Scrypt,PoW,69836100.0,84000000.0,,,,,
150,SHA-256,PoW/PoS,5129014.0,10500000.0,,,,,
151,SHA-256,PoW,21739971929.0,21626280000.0,,,,,
152,NIST5,PoW/PoS,10069449031.9252,0.0,,,,,
153,Scrypt,PoW/PoS,8998743.2411911,42000000.0,,,,,
154,Scrypt,PoS,40477042.0,221052632.0,,,,,
155,X11,PoW,45110324.0,84000000.0,,,,,
156,Dagger,PoW,5702048.0,30000000.0,,,,,
157,Scrypt,PoW,636462.55983338,168351300.0,,,,,
158,X11GOST,PoW,17263355.0,24000000.0,,,,,
159,X11,PoW/PoS,10407269.7881868,384000000.0,,,,,
160,Scrypt,PoS,36971236046.8073,99000000000.0,,,,,
161,SHA-256,PoW/PoS,4377081.60953993,40000000.0,,,,,
162,Scrypt,PoC,2147483647.0,2147483647.0,,,,,
163,PoS,PoS,20000000.0,20000000.0,,,,,
164,Scrypt,PoW,6570807.65677618,20000000.0,,,,,
165,X11,PoW,13654082.4987998,25000000.0,,,,,
166,X11,PoW/PoS,134554941.15119,75000000.0,,,,,
167,SHA-256,PoW/PoS,1195525.0,222725000.0,,,,,
168,SHA-256,PoW/PoS,16662820.0,525000000.0,,,,,
169,NIST5,PoW/PoS,83450403.0,90000000.0,,,,,
170,X11,PoW/PoS,24387724.5010828,139000000.0,,,,,
171,Scrypt,PoW,616448.0,616448.0,,,,,
172,POS 3.0,PoS,38589808.6658096,33500000.0,,,,,
173,Scrypt,PoW/PoS,813092338.575672,2000000000.0,,,,,
174,Scrypt,PoW/PoS,4526324.0,44333333.0,,,,,
175,Scrypt,PoW/PoS,100000000.0,100000000.0,,,,,
176,X13,PoS,5000000.0,200000000.0,,,,,
177,X11,PoW,1377917.0,25000000.0,,,,,
178,X11,PoS,657000000.0,657000000.0,,,,,
179,Equihash,dPoW/PoW,115898131.0,200000000.0,,,,,
180,X11,PoW/PoS,15563873.0,50000000.0,,,,,
181,Scrypt,PoW/PoS,43165500.0,90000000.0,,,,,
182,CryptoNight,PoW,7822432.72439746,10000000.0,,,,,
183,SHA-256,PoW/PoS,595429.0,21000000.0,,,,,
184,SHA-256,PoW,6243840.0,9736000.0,,,,,
185,X11,PoW/PoS,657636.34549789,3000000.0,,,,,
186,Scrypt,PoW/PoS,2581970.0,21000000.0,,,,,
187,Multiple,PoW,1000000000.0,1200000000.0,,,,,
188,Scrypt,PoW/PoS,1939889.0,0.0,,,,,
189,Scrypt,PoW,116845228.0,200000000.0,,,,,
190,Scrypt,PoS,169598616.0,0.0,,,,,
191,SHA-256,PoW,9106714.0,10638298.0,,,,,
192,Scrypt,PoW/PoW,665200057.0,3100000000.0,,,,,
193,Scrypt,PoW,11119200.0,30000000.0,,,,,
194,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,,,,,
195,PoS,PoS,74033806.7949683,74000000.0,,,,,
196,Scrypt,PoW/PoS,33522957.0,0.0,,,,,
197,X11,PoW/PoS,264678458.288619,1500000000.0,,,,,
198,Lyra2Z,PoW,7568281.24956067,21400000.0,,,,,
199,PoS,PoS,148716816.0,39999898.0,,,,,
200,X13,PoS,2500124.0,2500124.0,,,,,
201,X14,PoW/PoS,100000000.0,100000000.0,,,,,
202,PoS,PoS,17818682.1654,301000000.0,,,,,
203,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,,,,,
204,Ethash,PoW,26205539.0,26205539.0,,,,,
205,Equihash,PoW,5613550.0,21000000.0,,,,,
206,DPoS,DPoS,108202084.0,125000000.0,,,,,
207,X11,PoW/PoS,18342813.0,30000000.0,,,,,
208,Scrypt,PoW,196297971.0,10000000000.0,,,,,
209,X11,PoW,824000000.0,500000000.0,,,,,
210,X13,PoW/PoS,92192822723.0,850000000.0,,,,,
211,X11,PoW/PoS,3853326.77707314,3853326.77707314,,,,,
212,PoS,PoS,50000000.0,50000000.0,,,,,
213,Scrypt,PoW/PoS,17089600.0,38540000.0,,,,,
214,Scrypt,PoW/PoS,2449577.41533168,42000000.0,,,,,
215,X11,PoW,61364813.0,228000000.0,,,,,
216,PoS,PoS,20000000.0,20000000.0,,,,,
217,X11,PoW/PoS,6069482.07721352,60000000.0,,,,,
218,SHA-256,PoW/PoS,12416554.0,20000000.0,,,,,
219,Scrypt,PoW/PoS,20244023.640728,33000000.0,,,,,
220,X11,TPoS,75590369.0,76500000.0,,,,,
221,Scrypt,PoW/PoS,11080722.3769581,28000000.0,,,,,
222,Scrypt,PoW/PoS,10914418.0,650659833.0,,,,,
223,X11,PoW/PoS,814671.0,5000000.0,,,,,
224,CryptoNight,PoW,978145.0,21000000.0,,,,,
225,Scrypt,PoW/PoS,8377873.0,144000000.0,,,,,
226,Scrypt,PoS,33813143821.8337,32514916898.0,,,,,
227,Scrypt,PoW/PoS,3472983.0,13000000.0,,,,,
228,Scrypt,PoW/PoS,3315789.0,3315789.0,,,,,
229,Quark,PoS,10517772.7391666,15000000.0,,,,,
230,QuBit,PoW/PoS,30227750.0,78835200.0,,,,,
231,Scrypt,PoW,894026.0,2714286.0,,,,,
232,CryptoNight,PoW,9357088.0,25000000.0,,,,,
233,Lyra2RE,PoW,1876146.443596,9999999.0,,,,,
234,Scrypt,PoW/PoS,23965372.0,500000000.0,,,,,
235,SHA-256,PoW/PoS,2526078.47525448,21000000.0,,,,,
236,X11,PoW/PoS,5659096.95728771,9354000.0,,,,,
237,Scrypt,PoW/PoS,11821728.0,20000000.0,,,,,
238,X11,PoW,536982074.0,100000000000.0,,,,,
239,Scrypt,PoW/PoS,308179.0,21933333.0,,,,,
240,CryptoNight-V7,PoW,10969318.522954,185000000.0,,,,,
241,Scrypt,PoS,2922613.96424908,55000000.0,,,,,
242,Scrypt,PoW/PoS ,110000000.0,110000000.0,,,,,
243,Scrypt,PoW,3115258.0,3360000.0,,,,,
244,X13,PoS,14524851.4827,14524851.4827,,,,,
245,X11,PoW,30385540.0,1000000000.0,,,,,
246,Equihash,PoW,6921653.89980891,17000000.0,,,,,
247,Scrypt,PoW/PoS,1000000000.0,1000000000.0,,,,,
248,Scrypt,PoW,99843408.3158479,100000000.0,,,,,
249,Lyra2RE,PoW,18545757.5,21000000.0,,,,,
250,Scrypt,PoS,36050365.0,34426423.0,,,,,
251,Dagger-Hashimoto,PoW,2232901.0,2232901.0,,,,,
252,X11,PoW/PoS,13162749.0858027,100000000.0,,,,,
253,Blake2S,PoW/PoS,12184195.9258495,36900000.0,,,,,
254,X11,PoW/PoS,110630387.850471,110000000.0,,,,,
255,Scrypt,PoW,64096052.0,4000000000.0,,,,,
256,PoS,PoS,111135836.889,110290030.0,,,,,
257,X11,PoW/PoS,21521322.0099142,100000000.0,,,,,
258,NIST5,PoW,10123200.0,48252000.0,,,,,
259,PoS,PoS,401421401.0,400000000.0,,,,,
260,X11,PoW/PoS,121665451.643876,500000000.0,,,,,
261,Scrypt,PoW/PoS,5368934.0,21212121.0,,,,,
262,Scrypt,PoW/PoS,1148324.0,28600000.0,,,,,
263,Scrypt,PoW/PoS,500000.0,1000000000.0,,,,,
264,SHA-256,PoS,100545745.0,75000000000.0,,,,,
265,X11,PoW/PoS,17171382.0,40000000.0,,,,,
266,Scrypt,PoW,20276099.146524,35520400.0,,,,,
267,Scrypt,PoS,295135466.361878,2000000000.0,,,,,
268,SHA-256,PoW,1317747500.0,2500000000.0,,,,,
269,PoS,PoS,11390225.9742772,30000000.0,,,,,
270,Scrypt,PoW/PoS,21358764.0,105000000.0,,,,,
271,X15,PoW/PoS,40659020000.0,90000000000.0,,,,,
272,SHA-256,PoS,10343113.0,200084200.0,,,,,
273,Scrypt,PoW,13673406.4325268,72000000.0,,,,,
274,POS 3.0,PoS,100000000.0,100000000.0,,,,,
275,CryptoNight-V7,PoW,69036016.8340164,105000000.0,,,,,
276,536,PoW/PoS,22801882871.0,50000000000.0,,,,,
277,Argon2d,PoW,19784224.6512734,0.0,,,,,
278,Blake2b,PoW,133248297.0,340282367.0,,,,,
279,Cloverhash,PoW,18407259.0885883,30000000.0,,,,,
280,CryptoNight,PoW,1809467143.0,2000000000.0,,,,,
281,NIST5,PoW/PoS,4171382.0,10000000.0,,,,,
282,X11,PoW,35138975.0,100000000.0,,,,,
283,NIST5,PoW/PoS,62942075.0,120000000.0,,,,,
284,Skein,PoW/PoS,6804362.0,100000000.0,,,,,
285,Scrypt,PoW,18133195.0,19276800.0,,,,,
286,X13,PoW/PoS,21268092.0,30000000.0,,,,,
287,Scrypt,PoW,5167775.0,75000000.0,,,,,
288,X11,PoW,26042364.3735553,60000000.0,,,,,
289,X11,PoW,2622886.0,18900000.0,,,,,
290,Scrypt,PoW/PoS,9044930943.24243,50000000000.0,,,,,
291,CryptoNight,PoW,14161803.0,54000000.0,,,,,
292,X13,PoW/PoS,21917018.0492836,18898187.6216583,,,,,
293,Time Travel,PoW,17801865.1605478,21000000.0,,,,,
294,Scrypt,PoW,163055097500.0,200000000000.0,,,,,
295,Keccak,PoW,2241009149.22257,5000000000.0,,,,,
296,SkunkHash v2 Raptor,PoS,107972766.0,137500000.0,,,,,
297,X11,PoW,122475638.389743,1100000000.0,,,,,
298,Skein,PoW/PoS,47331802.4774238,100000000.0,,,,,
299,SHA-256,PoW,17995589.6469082,21000000.0,,,,,
300,X11,PoW/PoS,12569262.5359307,9507271.0,,,,,
301,Scrypt,PoS,18663297.3489799,17405891.19707116,,,,,
302,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466.0,,,,,
303,Scrypt,PoW,485214.0,10500000000.0,,,,,
304,PoS,PoS,4000000.0,61599965.0,,,,,
305,Scrypt,PoW,143006669741.687,0.0,,,,,
306,Scrypt,PoW,9704042.0,20000000.0,,,,,
307,Scrypt,PoW,17453749.4042601,84000000.0,,,,,
308,Scrypt,PoW,32646731.063036,100000000.0,,,,,
309,Scrypt,PoW,33716526.0,100000000.0,,,,,
310,Scrypt,PoW/PoS,19539588.0,48252000.0,,,,,
311,Scrypt,PoW/PoS,4200000.0,4200000.0,,,,,
312,CryptoNight,PoW,8946653.0,88888888.0,,,,,
313,SHA-512,PoS,25000000.0,91388946.0,,,,,
314,Ouroboros,PoS,25927070538.0,45000000000.0,,,,,
315,X11,PoW/PoS,7262402.04264803,27000000.0,,,,,
316,Equihash,PoW,5211553258.01514,21000000000.0,,,,,
317,NeoScrypt,PoW/PoS,182638400.0,400000000.0,,,,,
318,X11,PoW,2702855668.85288,1800000000.0,,,,,
319,Scrypt,PoW/PoS,1140734.91680375,15733333.0,,,,,
320,NeoScrypt,PoW,4165967.57499639,27000000.0,,,,,
321,Lyra2REv2,PoS,24000000.0,24000000.0,,,,,
322,Equihash,PoW,17202361.088994,21000000.0,,,,,
323,Scrypt,PoW/PoS,48459472454.0,25000000000.0,,,,,
324,SHA-256,PoW/PoS,92050800.0,100000000.0,,,,,
325,NIST5,PoW/PoS,560563220.0,1200000000.0,,,,,
326,PHI1612,PoW/PoS,8305775.31777569,60000000.0,,,,,
327,Dagger,PoW,33986980.0,156306732.71,,,,,
328,Scrypt,PoW/PoS,2149688.0,21000000.0,,,,,
329,Quark,PoW/PoS,30711550.5294042,200000000.0,,,,,
330,Scrypt,PoW,99990001.493466,100000000.0,,,,,
331,POS 2.0,PoS,12330806.30517,21000000.0,,,,,
332,Scrypt,PoW/PoS,16362544.992,14788275.991,,,,,
333,SHA-256,PoS,8999999990.0,9000000000.0,,,,,
334,X11,PoW,175215859.0,350000000.0,,,,,
335,NeoScrypt,PoW,6375259.04,45000000.0,,,,,
336,Ethash,PoW,12756367.0,280000000.0,,,,,
337,NeoScrypt,PoW,5832306.875,31800000.0,,,,,
338,X11,PoW/PoS,38198594.8342105,144000000.0,,,,,
339,DPoS,DPoS,288090567.493887,500000000.0,,,,,
340,NIST5,PoW/PoS,28399150208.0,30000000000.0,,,,,
341,X13,PoW/PoS,183534024.889807,210000000.0,,,,,
342,Multiple,PoW,481730566.566176,660000000.0,,,,,
343,Scrypt,PoW/PoS,110976977.29338,210000000.0,,,,,
344,CryptoNight,PoW,19281821413.4924,85000000000.0,,,,,
345,CryptoNight,PoW,4500000.0,12500000.0,,,,,
346,Ethash,PoW,520891780.0,10000000000.0,,,,,
347,NIST5,PoS,13247178.8807286,27716121.0,,,,,
348,Quark,PoS,16955764.902064,20000000.0,,,,,
349,X11,PoW,80316207.0,550000000.0,,,,,
350,CryptoNight-V7,PoW,441250233.377,999481516.0,,,,,
351,Scrypt,PoW/PoS,4911500269.41,50000000000.0,,,,,
352,Scrypt,PoW/PoS,8419402.321,150000000.0,,,,,
353,Scrypt,PoW,3964201248.87125,4999999999.0,,,,,
354,X11,PoW/PoS,45174214.1078625,50000000.0,,,,,
355,BLAKE256,PoW,30089671530.5228,90000000000.0,,,,,
356,X11,PoW,4229040.50393462,19800000.0,,,,,
357,NeoScrypt,PoW,7847417.33355824,21000000.0,,,,,
358,Quark,PoS,27299680.0,120000000.0,,,,,
359,NeoScrypt,PoW,299797953.0,500000000.0,,,,,
360,Scrypt,PoW,45483049.3398182,64000000.0,,,,,
361,Scrypt,PoW/PoS,591022748.0,900000000.0,,,,,
362,Scrypt,PoW/PoS,2504486.227718,4000000.0,,,,,
363,X11,PoS,4407252.0,21000000.0,,,,,
364,X11,PoW,8478104.33969947,23000000.0,,,,,
365,SHA-256,PoW,20166000.0,20166000.0,,,,,
366,C11,PoW,11916588.09471,23000000.0,,,,,
367,POS 3.0,PoS,20445861.5344251,25000000.0,,,,,
368,Ethash,PoS,1618033.0,1618033.0,,,,,
369,Scrypt,PoW and PoS,9399342.52839847,30000000.0,,,,,
370,CryptoNight,PoW,53139835213.77,1000000000000.0,,,,,
371,SkunkHash,PoW,4818338.98949984,16600000.0,,,,,
372,Scrypt,PoW/PoS,234846265.782157,232000000.0,,,,,
373,CryptoNight,PoW,133932467.774108,336000000.0,,,,,
374,Scrypt,PoW,10000000000.0,10000000000.0,,,,,
375,Dagger,PoW,107325266.027783,100000000.0,,,,,
376,Lyra2REv2,PoW,643795911.540095,1100000000.0,,,,,
377,X13,PoS,230298925.0,800000000.0,,,,,
378,Proof-of-BibleHash,POBh,1772091549.88818,5200000000.0,,,,,
379,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000.0,,,,,
380,Scrypt,PoW,12446100.00278,40000000.0,,,,,
381,Scrypt,PoW,14491014421.0,18406979840.0,,,,,
382,X11,PoW,211297638.500483,500000000.0,,,,,
383,C11,PoW/PoS,11251342.1879021,19340594.0,,,,,
384,Proof-of-Authority,PoA,204479039.0,252460800.0,,,,,
385,X11,PoW/PoS,2167827.1,25000000.0,,,,,
386,XEVAN,PoW/PoS,419275.38,60000000.0,,,,,
387,Scrypt,PoS,25570013.1348022,124000000.0,,,,,
388,VBFT,PoS,650848625.0,1000000000.0,,,,,
389,Ethash,PoW,247612453.0,6500000000.0,,,,,
390,CryptoNight,PoW,80049082.9057215,1000000000.0,,,,,
391,Scrypt,PoW,4070212.1493016,21000000.0,,,,,
392,IMesh,PoW,25000000.0,25000000.0,,,,,
393,NIST5,PoW/PoS,13787854.6277781,50000000.0,,,,,
394,Scrypt,PoW/PoS,845637.81347436,3000000.0,,,,,
395,Scrypt,PoW/PoS,1182153.5,5000000.0,,,,,
396,Equihash,PoW,71355477.0,70000000.0,,,,,
397,Scrypt,PoS,267297676.3125,500000000.0,,,,,
398,Lyra2Z,PoW,27340501.6514783,300000000.0,,,,,
399,Green Protocol,PoS,9803691.3618195,21000000.0,,,,,
400,PoS,PoS,21876586.8530324,88000000.0,,,,,
401,Scrypt,PoW/PoS,9880502.37178894,30000000.0,,,,,
402,Semux BFT consensus,DPoS,1231147.0,100000000.0,,,,,
403,X11,PoW,31801461.1867843,100000000.0,,,,,
404,Quark,PoW/PoS,139739596.506702,200000000.0,,,,,
