,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
447,PoS,PoS,9327131.59708692,210000000.0,,,,,
448,SHA-256,PoW,2100000000.0,2100000000.0,,,,,
449,Keccak,PoW/PoS,4672513.84432375,366000000.0,,,,,
450,X11,PoS,4504639.0,100000000.0,,,,,
451,X11,PoW,5015881.37315389,25000000.0,,,,,
452,Scrypt,PoW/PoS,1059954080.43439,18000000000.0,,,,,
453,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000.0,,,,,
454,X16R,PoW,9753753.61515394,100000000.0,,,,,
455,ECC 256K1,DPOS,1000000000.0,1000000000.0,,,,,
456,Equihash,PoW,4235111504.0,7600000000.0,,,,,
457,XEVAN,PoS,6787405.18013774,50000000.0,,,,,
458,Lyra2Z,PoW,13634850.0,84000000.0,,,,,
459,SHA-256,PoW,17992514.6469233,21000000.0,,,,,
460,XEVAN,Pos,208515864.367343,70000000000.0,,,,,
461,X11,PoS,17209923728.3266,0.0,,,,,
462,CryptoNight,PoW,1867054873.28397,8080000000.0,,,,,
463,Quark,PoW/PoS,35312185.7437239,54000000.0,,,,,
464,Blake,PoW,1578281.31341127,105120001.44,,,,,
465,Blake,PoW,15846721.2482747,25228800.0,,,,,
466,Equihash,PoS,13475920.0,105000000.0,,,,,
467,Exosis,PoW,406091.925,21000000.0,,,,,
468,Scrypt,PoW,35284717.173946,120000000.0,,,,,
469,Scrypt,PoW/PoS,14777549.3940764,21000000.0,,,,,
470,Equihash,PoW,35687520.0,262800000.0,,,,,
471,Quark,PoW/PoS,18265011.2486006,19035999.0,,,,,
472,Equihash,PoW,25150787.5,30886000.0,,,,,
473,Quark,PoS,1934701.67524713,13370000.0,,,,,
474,Scrypt,PoW/PoS,30825710000.0296,74800000000.0,,,,,
475,QuBit,PoW,12925790.4226959,100000000.0,,,,,
476,X11,PoS,715659.44237941,19700000.0,,,,,
477,Scrypt,PoW/PoS,20546528.2059957,84000000.0,,,,,
478,XEVAN,PoW/PoS,198938144.363399,500000000.0,,,,,
479,SHA-256D,PoW/PoS,896361168.0,5000000000.0,,,,,
480,X11,PoW/PoS,15420234.5389336,420000000.0,,,,,
481,SHA-256,PoW,52293836.6277958,64000000.0,,,,,
482,X13,PoW,1170292.5,2100000.0,,,,,
483,SHA-256,PoW,84613099.9999955,168000000.0,,,,,
484,X11,PoW/PoS,23775960.3207514,30000000.0,,,,,
485,DPoS,DPoS,1000000000.0,1000000000.0,,,,,
486,Scrypt,PoW/PoS,15318887081.0146,35000000000.0,,,,,
487,Scrypt,PoW,55565076.3863525,98100000000.0,,,,,
488,X11,PoW/PoS,242574105.22384,0.0,,,,,
489,NeoScrypt,PoW,3824685012.0,4000000000.0,,,,,
490,Scrypt,PoW/PoS,3537150.0,200000000.0,,,,,
491,Blake,PoW,23356790.1494191,7000000000.0,,,,,
492,Scrypt,PoW/PoS,20576532.0,54256119.0,,,,,
493,SHA-256,PoS,4392258.24647793,21000000.0,,,,,
494,Scrypt,PoW/PoS,9631199.99309942,0.0,,,,,
495,X11,PoW/PoS,436353624.490312,500000000.0,,,,,
496,Scrypt,PoW,780210700.0,1000000000.0,,,,,
497,Scrypt,PoW/PoS,980732528.97974,10500000000.0,,,,,
498,SHA-256,PoW/PoS,17939725045.334,190000000.0,,,,,
499,X11,PoW/PoS,494240666.028571,1000000000.0,,,,,
500,SHA-256,PoW,22986929.0854247,42000000.0,,,,,
501,Scrypt,PoW/PoS,60000000.0,15000000.0,,,,,
502,Scrypt,PoW,29583989322.9213,50000000000.0,,,,,
503,Scrypt,PoW/PoS,404316475.545465,400000000.0,,,,,
504,Groestl,PoW,73298203.8873662,105000000.0,,,,,
505,X11,PoW/PoS,201364327.427503,208000000.0,,,,,
506,Scrypt,PoW/PoS,103621876.167052,160000000.0,,,,,
507,PoS,PoS,3821245.74150193,9000000.0,,,,,
508,Scrypt,PoW,5052555.91981545,5000000.0,,,,,
509,Scrypt,PoW,69684455.4387001,182000000.0,,,,,
510,X11,Proof of Trust,16901016.6609755,16504333.0,,,,,
511,SHA-256,PoW/PoS,74676064.9488608,105000000.0,,,,,
512,DPoS,DPoS,120012140.0,159918400.0,,,,,
513,Scrypt,PoS,10000244677.7002,10008835635.0,,,,,
514,Scrypt,PoW/PoS,252005564.19257,300000000.0,,,,,
515,NeoScrypt,PoW/PoS,1120385.00502,60168145.0,,,,,
516,Multiple,PoW,3332922.5,2800000.0,,,,,
517,X13,PoW/PoS,140777.753365,120000.0,,,,,
518,Equihash+Scrypt,PoW,100000000.0,2100000000.0,,,,,
519,DPoS,DPoS,1020544523.0722,0.0,,,,,
520,Ethash,PoW,24487944.0958204,24487944.0,,,,,
521,DPoS,DPoS,1122382283.37,0.0,,,,,
522,SHA-256,PoS,1000000000.0,1000000000.0,,,,,
523,Leased POS,LPoS,100000000.0,100000000.0,,,,,
524,PoS,PoS,9283137.5558676,8634140.0,,,,,
525,TRC10,DPoS,989988713439.649,990000000000.0,,,,,
526,PoS,PoS/LPoS,1000000000.0,1000000000.0,,,,,
527,SHA-256,DPoS,1999999995.3056,2000000000.0,,,,,
528,Scrypt,PoW/PoS,14931046.1546605,250000000.0,,,,,
529,CryptoNight,PoW,980222595.0,1400222610.0,,,,,
530,Equihash,PoW,7296537.5,21000000.0,,,,,
531,Scrypt,PoS,128326.99633965,1000000.0,,,,,
1337,,,,,2.308669200069784,1.6135559943813378,-0.6210976521478911,0.0,EliteCoin
1CR,,,,,0.4909683286964468,-1.1018695358425903,-0.04590535884873772,1.0,1Credit
404,,,,,-0.3148044245892159,1.072572327706372,-0.5762237447593409,0.0,404Coin
42,,,,,-0.33148919848385255,1.0723933080776766,-0.575789158865254,0.0,42 Coin
8BIT,,,,,-0.3314712436024581,1.072393903755798,-0.5757897106102592,0.0,8BIT Coin
AAC,,,,,-0.5265067977940876,1.9072899909194077,2.3129719434368514,0.0,Acute Angle Cloud
ABJ,,,,,-0.3311553457178389,1.0723832655337828,-0.57579501242905,0.0,Abjcoin
ABS,,,,,-0.366349488660316,0.8511098307475642,-0.4085517130414958,0.0,Absolute Coin
ABY,,,,,-0.14540183340828647,-1.0589228581784802,-0.03971346783486036,1.0,ArtByte
AC3,,,,,-0.23315092457946288,-1.0241302668578918,0.16768899700871032,1.0,AC3
ACC,,,,,-0.16108700782932384,-1.0588096682081174,-0.03936363919372303,1.0,AdCoin
ACM,,,,,-0.15202068684756703,-2.2401424675441324,0.4651397196199439,1.0,Actinium
ACP,,,,,-0.1472180765167256,-1.3292037612321288,0.1941206970615492,1.0,Anarchists Prime
ADA,,,,,0.6789997912019832,1.5762983408448974,0.108511964822484,0.0,Cardano
ADC,,,,,-0.24494632632552413,1.0678730270699361,-0.5769066378392032,0.0,AudioCoin
ADK,,,,,-0.15280641139331685,-2.2091394463782743,0.29327839621533214,1.0,Aidos Kuneen
ADZ,,,,,-0.23689000392385642,-1.0239262760963836,0.16773546430412,1.0,Adzcoin
ALPS,,,,,-0.15031951491469278,-2.240238081584592,0.46511916334508063,1.0,Alpenschillling
ALX,,,,,3.700630069850364,1.8087097379802717,-0.504593818148689,0.0,ALAX
ARC,,,,,-0.23729364750313856,-1.023922772425719,0.16774434356942824,1.0,ArcticCoin
ARCO,,,,,-0.33116105092038534,1.0723746290440235,-0.5757930749268025,0.0,AquariusCoin
ARE,,,,,-0.3530378202838297,0.955617768250425,-0.08254334929631285,0.0,ARENON
ARG,,,,,-0.16159264189360256,-1.0588011008243443,-0.03935338803018066,1.0,Argentum
ARGUS,,,,,-0.3312721034886512,1.0723803776339902,-0.5757916301465252,0.0,ArgusCoin
ARK,,,,,3.6835087987928734,1.8087576874378455,-0.5041961882104333,0.0,ARK
ASAFE2,,,,,-0.3429065329347847,1.513205242436302,-0.17453285384211367,0.0,Allsafe
ATMOS,,,,,-0.32818793450683825,1.6468642758745207,-0.1395706804234129,0.0,Atmos
ATX,,,,,-0.2244086264440553,-1.0238050466179036,0.16741301088846677,1.0,ArtexCoin
AUR,,,,,-0.33114830732125794,1.0723928130888483,-0.5757971717312668,0.0,Aurora Coin
AWR,,,,,-0.40416060022733785,1.1070736743523757,-0.3687222606166037,0.0,Award
AXE,,,,,-0.23782802274501558,-1.0239130467178135,0.16775503737936512,1.0,Axe
AZART,,,,,-0.2377993448026527,-1.023914911074853,0.16775474352497372,1.0,Azart
BBP,,,,,-0.1708033572846997,3.4618434426078597,11.20291143156785,3.0,BiblePay
BCCOIN,,,,,-0.33115486296634905,1.0723846894191276,-0.575795320961281,0.0,BitConnect Coin
BCD,,,,,-0.27616827806031713,1.7488045837364534,-0.5877707927405453,0.0,Bitcoin Diamond
BCF,,,,,-0.3310072728136056,1.072386066008895,-0.5757991220418989,0.0,BitcoinFast
BCH,,,,,-0.14741092289378668,-1.329187097947234,0.19412181230526904,1.0,Bitcoin Cash
BCN,,,,,3.8640960691525943,-2.35508644162134,0.30910496982031616,1.0,ByteCoin
BDX,,,,,0.3247434364706232,-2.3436361125808673,0.3909831763155272,1.0,Beldex
BEAM,,,,,-0.1290352195451204,-2.0116016640187544,0.47646922191765073,1.0,Beam
BEET,,,,,-0.32055886729940963,1.5760241464949014,-0.5166477300588275,0.0,Beetle Coin
BENJI,,,,,-0.16169611398310788,-1.0587844856942965,-0.03935439061353177,1.0,BenjiRolls
BIC,,,,,0.3031035709330152,-2.3433859420790975,0.3914462018619279,1.0,Bikercoins
BITG,,,,,-0.30115928077900833,1.5464544215065639,-0.11317434958603291,0.0,Bitcoin Green
BITM,,,,,0.5051556259529575,1.6154281919557363,-0.48837641477941623,0.0,BitMoney
BITS,,,,,-0.33085229530133553,1.072376244419742,-0.5758007629378827,0.0,BitstarCoin
BLAST,,,,,-0.14668607894012423,-1.329193320645142,0.19410585294279417,1.0,BLAST
BLC,,,,,-0.08769428838334056,-2.2585840801066124,0.3594774653230318,1.0,BlakeCoin
BLHC,,,,,-0.3311840498996206,1.072393021346338,-0.5757963641969652,0.0,BlackholeCoin
BLRY,,,,,-0.33108093678454853,1.0723772868098118,-0.5757955367687364,0.0,BillaryCoin
BLTG,,,,,-0.16091274599237346,-1.0588179658185282,-0.03936605714086033,1.0,Block-Logic
BLU,,,,,-0.32371623431184005,1.0726511741883316,-0.5760280157091987,0.0,BlueCoin
BOLI,,,,,-0.23769367607525013,-1.0239114055420826,0.16775149641132173,1.0,BolivarCoin
BRIA,,,,,-0.33145755602983706,1.0723922460322044,-0.5757896906716732,0.0,Briacoin
BRIT,,,,,-0.2794311611151302,1.748823046749934,-0.5876969598008648,0.0,BritCoin
BSC,,,,,-0.23769504316929557,-1.0239086351546958,0.1677509510256599,1.0,BowsCoin
BSD,,,,,-0.4060458921499086,1.1072089360408333,-0.36870559165925376,0.0,BitSend
BSV,,,,,-0.14741096050941185,-1.329187099195123,0.19412181346116644,1.0,Bitcoin SV
BSX,,,,,-0.3559975387029796,1.4548454149812768,-0.591659146083724,0.0,Bitspace
BTA,,,,,-0.1620990221373969,-1.0587763676877064,-0.03934649146038422,1.0,Bata
BTB,,,,,-0.33148512863078705,1.0723930911560182,-0.575789210510266,0.0,BitBar
BTC,,,,,-0.1474117597912576,-1.3291871257110917,0.19412183802244348,1.0,Bitcoin
BTCD,,,,,-0.31690106469003243,0.8019750379091363,-0.34231690215616284,0.0,BitcoinDark
BTCR,,,,,-0.2757474979768706,0.9208336971938021,-0.2896985833807504,0.0,BitCurrency
BTCZ,,,,,0.08150562573423063,-2.019214668638925,0.473044707459645,1.0,BitcoinZ
BTDX,,,,,-0.3950131295885648,1.6647552189897454,-0.46070796606928327,0.0,Bitcloud 2.0
BTG,,,,,-0.13097802765511882,-2.0114959046706886,0.47649341477482354,1.0,Bitcoin Gold
BTH,,,,,-0.1308106100651622,-2.011497309737679,0.4764897219166744,1.0,Bithereum
BTL,,,,,-0.12996770695172816,-2.011496880361642,0.47646956403810775,1.0,Bitrolium
BTPL,,,,,-0.41075511439388335,1.820594745722535,-0.83881404833974,0.0,Bitcoin Planet
BTS,,,,,-0.31171525579256626,1.5520086947058493,-0.044673878492754795,0.0,Bitshares
BTT,,,,,34.08249717947744,1.677007797253252,-1.3869767676138898,2.0,BitTorrent
BTX,,,,,-0.1888416945073423,-2.3029202047604826,0.3290942573646667,1.0,Bitcore
BTXC,,,,,-0.27243716772188886,1.424528514809094,-0.23038908014212692,0.0,Bettex coin
BURST,,,,,-0.1925711855423497,0.6536582889648729,-0.8177623747656046,0.0,BurstCoin
BUZZ,,,,,0.03826467878714409,1.8321565494121674,-0.671464101758216,0.0,BuzzCoin
BVC,,,,,-0.16213436391823022,-1.0587763856886125,-0.039345646268428125,1.0,BeaverCoin
BWK,,,,,-0.3024953110444091,1.303227196538319,-0.3055030257839719,0.0,Bulwark
BWS,,,,,-0.2619869659974322,0.650332880006329,-0.05618940242423777,0.0,BitcoinWSpectrum
BXT,,,,,-0.3169166468683972,0.801975224909484,-0.3423165701773903,0.0,BitTokens
CARE,,,,,-0.3936794196295094,1.6647994644735586,-0.46074894988656057,0.0,Carebit
CAT,,,,,-0.1619589152577798,-1.0587829826396356,-0.03934844724893547,1.0,Catcoin
CBX,,,,,-0.33146938846485585,1.0723932613644145,-0.5757896207682857,0.0,CryptoBullion
CCN,,,,,-0.16204549662217524,-1.0587803220242187,-0.039346940906204955,1.0,CannaCoin
CDN,,,,,-0.16026500944474134,-1.058782398623773,-0.039388898532432305,1.0,Canada eCoin
CESC,,,,,-0.14555262068827876,-1.0589278605075931,-0.03970883426495332,1.0,Crypto Escudo
CFC,,,,,-0.3282272488826507,1.6469124513209716,-0.139579794348848,0.0,CoffeeCoin
CHAN,,,,,-0.14123131978340828,-2.1865238032981664,0.15745221933648032,1.0,ChanCoin
CHAT,,,,,-0.3121568715326302,1.0723307179716828,-0.5762363766461334,0.0,OpenChat
CIF,,,,,-0.2319036451261189,-1.0240536919290724,0.16764332668844184,1.0,Crypto Improvement Fund
CKC,,,,,-0.31314189845273516,0.8017456679266147,-0.3423585532984394,0.0,Clockcoin
CLO,,,,,-0.10603908935235454,-2.046200949567721,0.41368663566023434,1.0,Callisto Network
CLUB,,,,,-0.3290856848637538,1.0723604144363628,-0.575839521067285,0.0, ClubCoin
CNBC,,,,,-0.3286407317395828,1.0723399788867305,-0.5758458516714131,0.0,Cash & Back Coin
COAL,,,,,0.3029554104665292,-2.343382058075666,0.3914489191015499,1.0,BitCoal
CON,,,,,-0.2792674619183776,1.7488143987266596,-0.5876990531666993,0.0,Paycon
COVAL,,,,,-0.11087173920983516,-1.851266853694707,0.365140595940162,1.0,Circuits of Value
CPC,,,,,-0.40339111358749324,1.1072484361132116,-0.36877703826557856,0.0,CapriCoin
CRB,,,,,-0.4368431325631224,0.32582485072293876,0.2844529875620899,0.0,Creditbit 
CREDIT,,,,,0.576643579100563,1.049866033634845,-0.5927110441501973,0.0,Credit
CRM,,,,,-0.4102593534133461,1.8206111924651647,-0.8388292826695893,0.0,Cream
CRW,,,,,-0.14720077353178465,-1.329194908933354,0.19411843841264653,1.0,Crown Coin
CRYP,,,,,-0.025573611232865848,-2.013334264431439,0.47436739051290344,1.0,CrypticCoin
CRYPT,,,,,-0.23784927317064486,-1.0239116398899177,0.16775524984107257,1.0,CryptCoin
CSC,,,,,0.6003660049243589,0.48269572793370863,-0.5959991121700533,0.0,CasinoCoin
CSPN,,,,,-0.34302309962604266,1.513202522780596,-0.17452951120654,0.0,Crypto Sports
CTC,,,,,-0.3303222032939878,1.0723686687130731,-0.5758118032848082,0.0,CarterCoin
CTL,,,,,-0.14613858062161503,-2.2007316026829513,0.40031325653256633,1.0,Citadel
CTO,,,,,-0.14664792411663724,-2.1773813688505474,0.372399129372338,1.0,Crypto
CXT,,,,,-0.18676190490079805,-0.6763246375686868,-0.055212720642520245,1.0,Coinonat
CYP,,,,,-0.19741182099696855,-1.622507021368635,0.18313963096166533,1.0,CypherPunkCoin
DAS,,,,,-0.23787192523875286,-1.0239130249080184,0.16775607808456927,1.0,DAS
DASH,,,,,-0.4070643967947806,1.1072575078180775,-0.3686914751575626,0.0,Dash
DASHP,,,,,-0.35351540043441904,0.9556267735609811,-0.08253385741243058,0.0,Dash Platinum
DAXX,,,,,-0.07784752454424017,-2.047729474509677,0.4133343028355018,1.0,DaxxCoin
DBIC,,,,,-0.31693573461878993,0.8019819829967831,-0.34231752553919703,0.0,DubaiCoin
DBIX,,,,,-0.17058331383787714,-2.209431288503087,0.054419467642567346,1.0,DubaiCoin
DCR,,,,,-0.08690351026024591,0.8456484886378606,-0.6226909935995387,0.0,Decred
DCY,,,,,0.33914553789490587,-2.3435805309354825,0.39062868811831086,1.0,Dinastycoin
DEA,,,,,-0.3304824650083359,1.0723527930456238,-0.5758046758407318,0.0,Degas Coin
DEAL,,,,,-0.2779487024136346,1.0705639790345942,-0.5766822619923853,0.0,iDealCash
DEV,,,,,-0.32943806863595054,1.646838493731683,-0.13953553808806465,0.0,Deviant Coin
DFT,,,,,-0.2774702730861014,0.9207642919563372,-0.2896430878744453,0.0,Draftcoin
DGB,,,,,0.15699682500750867,-1.8563182980581012,0.35981682079196475,1.0,DigiByte
DGC,,,,,-0.16144526831243897,-1.0587850656355204,-0.0393602419043843,1.0,Digitalcoin 
DIEM,,,,,0.2716969455543925,-1.3304920173581278,0.18441568018159715,1.0,CarpeDiemCoin
DIGS,,,,,-0.2758889182054168,0.9207586121047346,-0.2896795527690603,0.0,Diggits
DKD,,,,,-0.19507796060802,1.64563884828367,-0.2831365952052446,0.0,Dekado
DLC,,,,,-0.14759322203523922,-1.3291858517085426,0.19412589260505078,1.0,DollarCoin
DMD,,,,,-0.36999128642550305,0.8036969693265915,-0.3871145862203224,0.0,Diamond
DNR,,,,,-0.3563991585189491,1.4548602487512823,-0.5916526785883881,0.0,Denarius
DOPE,,,,,-0.15934707047359548,-1.0588223397446903,-0.03940242116335447,1.0,DopeCoin
DP,,,,,-0.2368983870153795,-1.0239378171647968,0.16773807149105183,1.0,DigitalPrice
DRZ,,,,,-0.4207811912011521,1.8763109291017381,-0.5835514094383029,0.0,Droidz
DTEM,,,,,-0.3429059593705109,1.5132010378535796,-0.17453199037425762,0.0,Dystem
DVC,,,,,0.23096694731216727,-1.3314023640709427,0.18557531125826282,1.0,DevCoin
DYN,,,,,-0.162245172252265,-2.2691376038652025,0.21574980878929112,1.0,Dynamic
EAC,,,,,0.08703463645100515,-1.0600110269399352,-0.04502044017900138,1.0,EarthCoin
EB3,,,,,-0.13301384102519545,-1.0606236950111891,-0.03965359421005472,1.0,EB3coin
EBST,,,,,-0.16026321621090717,-1.0587823391337032,-0.039388953637042784,1.0,eBoost
ECA,,,,,0.2038658978244854,1.4523358839650464,-0.6044651693837151,0.0,Electra
EDRC,,,,,-0.3168719406564265,0.801976004091438,-0.34231779711391874,0.0,EDRCoin
EFL,,,,,-0.16179144288325664,-1.0587774267868162,-0.03935359353816414,1.0,E-Gulden
EGC,,,,,-0.24940221054987968,1.7972903248273255,-0.5692800823581601,0.0,EverGreenCoin
ELE,,,,,-0.15470887658442475,-2.0432584260860747,0.41423154927175265,1.0,Elementrem
ELLA,,,,,-0.15307155639577144,-2.0433827632391592,0.4142185051814296,1.0,Ellaism
ELM,,,,,-0.19219561890825512,-1.0236515040265104,0.1666140349749638,1.0,Elements
ELP,,,,,-0.32611111956721994,1.5761496833999855,-0.5165417273712688,0.0,Ellerium
EMAR,,,,,-0.3306286137985003,1.0723627272342031,-0.5758032686333872,0.0,EmaratCoin
EMB,,,,,0.8538996725574499,1.7858437779960308,-0.6224028742376353,0.0,EmberCoin
EMC,,,,,-0.30944667961134453,0.8015338866883825,-0.3424023511569042,0.0,Emercoin
EMC2,,,,,-0.15739051948757238,-1.0588276790838638,-0.039447889970152535,1.0,Einsteinium
EMD,,,,,-0.16173064054792785,-1.0587831529710696,-0.03935384660704938,1.0,Emerald
ENRG,,,,,-0.3299838060551644,1.0724432491126914,-0.5758354183507132,0.0,EnergyCoin
ENT,,,,,-0.40683084287077426,1.107238506375655,-0.3686930718230385,0.0,Eternity
EOS,,,,,3.6937817812339984,1.8091864828668827,-0.504530224671395,0.0,EOS
EQT,,,,,-0.16151789218121115,-1.058804252502678,-0.0393545102370754,1.0,EquiTrader
ERC,,,,,-0.4044775081871602,1.1070885026759754,-0.36871780885204475,0.0,EuropeCoin
ESP,,,,,0.5918463513400748,1.8360200778002467,-0.5470176096673163,0.0,Espers
ETC,,,,,-0.15233787587220146,-2.043309148120441,0.4141856803598945,1.0,Ethereum Classic
ETH,,,,,-0.15389821931350878,-2.0432130857416713,0.41420279018329464,1.0,Ethereum
ETHD,,,,,-0.3314080035192018,1.0723930452018477,-0.5757910371612327,0.0,Ethereum Dark
EUC,,,,,-0.3167791419168576,0.8019804905358716,-0.34232094244103295,0.0,Eurocoin
EUNO,,,,,-0.4065996705275897,1.107253214809448,-0.3687016440486174,0.0,EUNO
EXCL,,,,,-0.33026096577595304,1.6468731406196926,-0.1395231738289214,0.0,Exclusive Coin
EXO,,,,,-0.138399137313208,-2.325983055597837,0.31548908450438595,1.0,Exosis
EXP,,,,,-0.15496707609264745,-2.0432604457957435,0.4142381179634872,1.0,Expanse
FAIR,,,,,-0.369412100141177,0.803719266917867,-0.38713302733949323,0.0,FairCoin
FIND,,,,,-0.2259564684266751,1.5971991219371096,-0.3015389935198323,0.0,FindCoin
FLDC,,,,,-0.12715308198449848,-2.297509596363366,0.5074114293246615,1.0,Folding Coin
FLIP,,,,,-0.1617600928125116,-1.0587897615231066,-0.03935176677233432,1.0,BitFlip
FLO,,,,,-0.1591977050570853,-1.058789227181744,-0.039412884994006345,1.0,Flo
FLT,,,,,-0.28599833095825533,0.5249209384108223,-0.3445234107019659,0.0,FlutterCoin
FRAZ,,,,,-0.16193562773215744,-1.0587815061468864,-0.03934930970440595,1.0,FrazCoin
FRE,,,,,-0.32936382764960365,1.64686770619085,-0.13954339970868862,0.0,FreeCoin
FRED,,,,,0.38301558555425363,-2.346405078797993,0.39017343832372986,1.0,FREDEnergy
FRK,,,,,-0.16210257812771425,-1.0587808752643824,-0.039345466465825735,1.0,Franko
FRN,,,,,-0.16197395572208093,-1.0587827776680638,-0.039348131916593095,1.0,Francs
FRST,,,,,-0.2804206644959246,0.48136973714143866,-0.6032292821050521,0.0,FirstCoin
FRWC,,,,,-0.32955596651948943,1.0723870490694418,-0.5758338806264397,0.0,Frankywillcoin
FSC,,,,,-0.34948367334881625,0.44920776626751785,-0.22643693494773623,0.0,FriendshipCoin
FTC,,,,,-0.17569361777162712,-1.682006592716551,0.3099102991123653,1.0,FeatherCoin
FTO,,,,,-0.23693921389961173,-1.0239391715861488,0.16773932606784503,1.0,FuturoCoin
GAKH,,,,,-0.3314250973760655,1.07239310054471,-0.5757906417263349,0.0,GAKHcoin
GALI,,,,,-0.39645015742593387,1.6648349328731542,-0.4606903817309666,0.0,Galilel
GAME,,,,,-0.1607456742209835,-1.0587870815922051,-0.03937647767798518,1.0,Gamecredits
GAP,,,,,-0.3295316509115216,1.0722822654692583,-0.5758126004997748,0.0,Gapcoin
GB,,,,,-0.4067856966510726,1.107247043440794,-0.3686959276178434,0.0,GoldBlocks
GBX,,,,,-0.18033456369133266,-1.6819464178443322,0.3100082401724229,1.0,GoByte
GCN,,,,,3.252332442545976,-1.0862869839858258,-0.11490014746737325,1.0,gCn Coin
GDC,,,,,-0.14129529422416254,-1.0590827066689377,-0.03977789239625495,1.0,GrandCoin
GEN,,,,,-0.33064874181407117,1.0724106310140136,-0.575812782685613,0.0,Genstake
GER,,,,,0.08357203082525208,1.0509661025747887,-0.581201209494603,0.0,GermanCoin
GIC,,,,,-0.39669975477449587,1.6648364266835938,-0.4606847508043335,0.0,Giant
GIN,,,,,-0.15262383640351074,-2.2401107376455864,0.4651474605235083,1.0,GINcoin
GLC,,,,,-0.16089599814957076,-1.0587822134584286,-0.03937391423019509,1.0,GlobalCoin
GLD,,,,,-0.16117381208146753,-1.0587930106909895,-0.0393650474566362,1.0,GoldCoin
GLT,,,,,-0.14555236749660408,-1.3292289193103342,0.19408628719544696,1.0,GlobalToken
GNJ,,,,,-0.42576926730168524,1.8307946969760054,-0.8941672580674905,0.0,GanjaCoin V2
GPU,,,,,-0.27575762034156986,0.9206777546815247,-0.28966581100700595,0.0,GPU Coin
GRE,,,,,-0.034803262678478476,-1.06158919497966,-0.041790432018305804,1.0,GreenCoin
GRS,,,,,-0.19912783785601476,-1.3274911413161934,0.1492968504248214,1.0,Groestlcoin
GRW,,,,,-0.2600126321954003,0.9199478271173352,-0.2898884052769712,0.0,GrowthCoin
GUN,,,,,-0.1734145285379226,-1.6820464298747266,0.3098643477715774,1.0,GunCoin
HALLO,,,,,-0.3934439208356555,1.1066689475241698,-0.36889297867469384,0.0,Halloween Coin
HBN,,,,,-0.3295452690720872,1.0723733252526053,-0.5758312723735338,0.0,HoboNickels
HERB,,,,,-0.3959933934864225,1.6648254735116537,-0.4606992832907537,0.0,HerbCoin
HEX,,,,,-0.16202205841482553,-1.0587858554309957,-0.039346344604727856,1.0,HexCoin
HODL,,,,,-0.15403940482104164,-2.2739846050053742,0.551159864424835,1.0,HOdlcoin
HPC,,,,,-0.4063578406190328,1.1072260406995411,-0.36870173284229985,0.0,HappyCoin
HTC,,,,,-0.08432165609474923,1.0992904247856137,-0.3747134899418351,0.0,Hitcoin
HTML5,,,,,0.8865804930912009,1.771640611515526,-0.5909753692106047,0.0,HTML5 Coin
HWC,,,,,-0.2771640715709214,0.9207684004178136,-0.2896512351619359,0.0,HollyWoodCoin
HXX,,,,,-0.14718916538173069,-2.177360052483788,0.3724075687096156,1.0,HexxCoin
HYP,,,,,-0.333131144649088,0.9563168835091748,-0.08316314185896104,0.0,HyperStake
HYPER,,,,,-0.3313713834876513,1.0723972165893443,-0.5757927792299922,0.0,HyperCoin
I0C,,,,,-0.14737420163694978,-1.3291858797290121,0.19412068389105103,1.0,I0coin
IBANK,,,,,-0.33111908091276576,1.0723743788732123,-0.5757940219836081,0.0,iBankCoin
IC,,,,,-0.331439240318252,1.072391445781022,-0.5757899598008522,0.0,Ignition
IFC,,,,,1.5892606165160557,-1.0644484634054887,-0.07986057181754957,1.0,Infinite Coin
ILC,,,,,-0.11391149839152219,-1.3298208182815032,0.19345644062738832,1.0,ILCoin
IMPCH,,,,,-0.3313297114465821,1.0723831594057136,-0.5757908388933393,0.0,Impeach
IMS,,,,,-0.3312729249487549,1.0723855509695666,-0.5757926898051606,0.0,Independent Money System
IMX,,,,,-0.40519679799893854,1.107257518637983,-0.368735942244974,0.0,Impact
INFX,,,,,-0.14703417557145587,-2.1773663708008635,0.372405196698587,1.0,Infinex
INN,,,,,-0.18023420713354116,-1.6819523804846686,0.3100070947020404,1.0,Innova
INSANE,,,,,-0.40689369472775083,1.107257539334356,-0.3686955459019156,0.0,InsaneCoin
INSN,,,,,-0.4068272325379008,1.107259744200358,-0.36869758823070364,0.0,Insane Coin
IOC,,,,,-0.40695895537006194,1.1072610058101409,-0.36869471528639086,0.0,IOCoin
IOP,,,,,-0.3168930297668569,0.8019760084007347,-0.3423172959116231,0.0,Internet of People
IRL,,,,,-0.161185570442108,-1.0587875963339601,-0.039365897003269944,1.0,IrishCoin
ISL,,,,,-0.40731254869051486,1.1072647620150402,-0.36868708032696823,0.0,IslaCoin
ITZ,,,,,-0.21597683362273368,-1.2831768130485648,-0.10913610785187061,1.0,Interzone
IXC,,,,,-0.1473730777905217,-1.3291858424456964,0.1941206493561686,1.0,IXcoin
J,,,,,-0.13156333817961421,-1.851110541057018,0.3656006244428505,1.0,JoinCoin
JMC,,,,,-0.14313977569589287,0.962619798159109,-0.08900142138634015,0.0,Junson Ming Chan Coin
